nome,data,alta,baixa,abertura,fechamento,volume,capitalizacao_de_mercado,valorizacao,ano,dia_semana,retorno_acumulado,mudanca_preco
Litecoin,2019-09-25,58.3574938281,54.2543584924,55.8342057611,57.6580077078,3360298410,3651789616,1.8238019467000015,2019,Quarta-feira,12.152217324835656,0.03286005912600065
Litecoin,2019-09-26,57.8339255521,51.8446099962,57.6577585977,55.540617166,2663433163,3518070664,-2.1171414317000057,2019,Quinta-feira,11.669224906706408,-0.03672326925568681
Litecoin,2019-09-27,56.6986972347,53.7708596483,55.5664507293,56.3608494395,2324084589,3570419888,0.7943987101999994,2019,Sexta-feira,11.856325945170777,0.014768151946322305
Litecoin,2019-09-28,56.5749269156,54.6376988351,56.4165755539,55.682246555,1975938676,3527794899,-0.7343289989000041,2019,Sábado,11.70153161617774,-0.0120403239349407
Litecoin,2019-09-29,55.8884791408,52.9976679758,55.7066163631,54.319547084,1825233237,3441861229,-1.3870692790999968,2019,Domingo,11.390689804198065,-0.024472781816624378
Litecoin,2019-09-30,56.1595236579,53.3190527751,54.3143365735,56.0569087721,2241248501,3552325139,1.7425721986000013,2019,Segunda-feira,11.786994834533745,0.03198409746335584
Litecoin,2019-10-01,57.5655064553,55.5062385673,56.0892338337,56.0580761672,2325767310,3552792224,-0.031157666500000403,2019,Terça-feira,11.787261125976503,2.0825177940997364e-05
Litecoin,2019-10-02,56.8866872695,55.598916032,56.0133793078,56.508924523,2113331224,3581752017,0.4955452151999964,2019,Quarta-feira,11.890102965154798,0.008042522801804397
Litecoin,2019-10-03,56.9116079059,54.8372932979,56.534791176,56.5468145252,2221643896,3584521184,0.0120233491999997,2019,Quinta-feira,11.89874595444951,0.0006705135962121744
Litecoin,2019-10-04,57.5232790642,56.0442532097,56.5237112883,56.8532121139,2292624175,3604329719,0.32950082560000027,2019,Sexta-feira,11.96863750697783,0.005418476553855411
Litecoin,2019-10-05,57.426826804,55.8855049122,56.8095425732,56.8438715454,2063875681,3604148251,0.03432897220000086,2019,Sábado,11.966506854328989,-0.00016429271368678666
Litecoin,2019-10-06,56.9442323023,54.5928092764,56.8354283054,55.4115690949,2381501439,3513746874,-1.423859210499998,2019,Domingo,11.639788088752873,-0.025197130518389232
Litecoin,2019-10-07,58.6536101752,54.4459497097,55.3420271503,57.7883001149,2891486029,3664860552,2.4462729645999985,2019,Segunda-feira,12.181937985019397,0.04289232481270311
Litecoin,2019-10-08,58.3152960508,57.0092891468,57.7933835032,57.3985867554,2417116506,3640571611,-0.39479674780000096,2019,Terça-feira,12.093041489939107,-0.00674381074932362
